street,district,rent_per_square_meter,rent_without_expenses,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_rent_1,most_similar_rent_2,most_similar_rent_3,most_similar_rent_4,most_similar_rent_5,most_similar_district_1,most_similar_district_2,most_similar_district_3,most_similar_district_4,most_similar_district_5,count,geometry_street
Viby Torv,Viby,112.7,10296.111111111111,Marselis Boulevard,Høegh-Guldbergs Gade,P. P. Ørums Gade,Tousvej,Carl Jensens Vej,112.8,112.8,112.5,113.0,113.0,Holme-Højbjerg-Skåde,Ø-gaderne Øst,Holme-Højbjerg-Skåde,Åby,Viby,9,"LINESTRING (572250.6484394016 6221007.271960986, 572281.3889469374 6220988.825715666, 572300.1812260881 6220978.527811774, 572339.060381944 6220959.251735364)"
Vikærsvej,Vejlby-Risskov,121.6,9578.60606060606,Tove Ditlevsens Gade,Nordlandsvej,Strandparken,Oslogade,Marius Simonsens Vej,121.6,121.7,121.8,122.0,122.0,Vejlby-Risskov,Vejlby-Risskov,Frederiksbjerg Øst,Skejby-Christiansbjerg,Skejby-Christiansbjerg,33,"LINESTRING (575363.438169472 6228469.113124796, 575366.2747399098 6228459.944990943, 575388.3076358689 6228365.054305668, 575392.4388038612 6228346.028178382, 575395.8773209327 6228326.262201688, 575397.9222903181 6228305.656395941, 575401.0144819291 6228256.736353474, 575406.613410206 6228174.843022625, 575406.4897225416 6228157.926465941, 575410.1343857205 6228104.4073596, 575410.0436814333 6228098.098643721, 575410.175614942 6228090.840121172, 575407.8997619163 6228075.643214459, 575404.6838826408 6228060.866222273, 575390.1959342127 6228019.544633163, 575358.4906628943 6227936.841467153, 575336.226883295 6227879.543130063)"
Vintervej,Hasle,128.9,7122.379310344828,Vesterport,Sjællandsgade,Tordenskjoldsgade,Ny Banegårdsgade,Brendstrupgårdsvej,128.9,129.0,129.2,129.3,129.5,Klostertorv/Vesterbro Torv,Ø-gaderne Øst,Trøjborg,Rådhuskvarteret,Skejby-Christiansbjerg,29,"MULTILINESTRING ((571499.633432606 6226150.56505855, 571478.3838918551 6226148.385502192, 571459.4102041299 6226149.175341423, 571449.8202872137 6226150.155141988, 571434.3016082485 6226154.344289298, 571423.0955058502 6226158.033538363, 571406.3894253063 6226165.861944913, 571388.7515643571 6226178.2094316175, 571377.2651032527 6226185.997846308, 571366.4795389135 6226197.705463257, 571348.0748144446 6226219.431041079, 571334.601104865 6226233.1082571205, 571321.094411908 6226244.176004313, 571309.9790137969 6226252.754258234, 571301.5517609264 6226258.0431816885), (571301.5517609264 6226258.0431816885, 571281.1350504493 6226268.7909940025, 571251.4087817621 6226282.248254816, 571232.2619313067 6226289.796718349, 571252.0354659286 6226335.527409999, 571253.8413058294 6226344.215641534, 571254.2041229784 6226352.833887315, 571252.4065289219 6226362.022017098, 571249.5039917297 6226369.030590523), (571249.5039917297 6226369.030590523, 571216.8092190959 6226423.589485218, 571215.2672462125 6226430.388101379, 571216.8092190959 6226435.027157113, 571252.9672463341 6226490.955773004, 571250.8068351285 6226504.243068414, 571188.7815943336 6226533.01721152), (571249.5039917297 6226369.030590523, 571291.9535981658 6226391.985918032, 571309.5584757378 6226401.893901291, 571334.6753174636 6226415.871056281), (571301.5517609264 6226258.0431816885, 571304.2646436997 6226264.941777499, 571305.831354116 6226268.221110001, 571308.3380907819 6226270.420662289, 571313.1866472281 6226271.360470993, 571342.3027234374 6226274.169899142, 571349.031332383 6226276.049516551, 571370.0087602722 6226283.717955663, 571374.8573167182 6226286.377414337, 571377.8340665092 6226289.666744804, 571378.4607506756 6226291.706329652, 571385.3460306628 6226337.716964321))"
Virupvej,Hjortshøj,88.2,8355.75,Kornbakke Alle,Otto Sverdrups Vej,Spørring Kirkevej,Espedalen,Emmasvej,88.0,88.0,88.0,89.0,89.3,Skejby-Christiansbjerg,Skejby-Christiansbjerg,Trige-Spørring,Vejlby-Risskov,Brabrand-Gellerup,4,"MULTILINESTRING ((578482.8575583562 6234685.827730517, 578486.386779715 6234689.027079299, 578489.9407386066 6234691.386599026, 578504.1070991072 6234702.214395059, 578513.3506905631 6234709.332946098, 578516.2367360668 6234711.602484141, 578519.4031402764 6234713.592079164, 578522.7097238391 6234715.3417230295, 578525.1257562179 6234716.841417771, 578528.0530309429 6234717.981185774, 578531.6976941217 6234719.0209741285, 578535.2186696362 6234719.69083778, 578539.4487877601 6234720.010772658, 578543.7531184827 6234720.100754342, 578553.2770686445 6234719.510874411, 578563.8977160979 6234718.271126757, 578568.6390765681 6234717.411301773, 578575.2852270707 6234715.911607031, 578578.5753189449 6234715.131765765, 578588.1569900168 6234711.532498386, 578597.54900667 6234707.623294094, 578599.2394047508 6234706.813458933), (578906.3476297128 6233757.696648914, 578900.1467548022 6233752.6076847585, 578894.1767635319 6233746.188991265, 578886.5411117137 6233736.680926604, 578881.230787987 6233732.361805749, 578873.9332157851 6233728.822526159, 578833.3554160042 6233712.875772075, 578827.583324997 6233707.896785533, 578822.3637055575 6233699.808431894, 578820.3517195493 6233689.110609405, 578814.744545428 6233661.75617732, 578810.6958358786 6233640.730457045, 578809.6980887188 6233636.241370785, 578806.6883555508 6233624.223816924, 578800.8585436335 6233601.978344925), (579093.7014579633 6233423.564660515, 579088.8364098287 6233422.454886406, 579086.47809836 6233422.514874196, 579084.5485707948 6233422.814813144, 579082.7344850496 6233423.444684936, 579052.2495986872 6233439.141489896, 579033.6799573324 6233448.649554557, 579016.174029892 6233458.317586657, 579009.4371751021 6233462.1768011255, 578953.8189553252 6233492.97053315, 578925.6676428985 6233508.347403233, 578902.8678834199 6233520.164997796), (578867.8642743832 6233793.5493512, 578871.5996418493 6233798.438356058, 578873.5951361689 6233801.057822873, 578875.1700924295 6233802.707487089, 578877.635599874 6233804.257171655, 578880.2412866715 6233804.977025131, 578887.3904336762 6233806.016813485, 578892.3214485652 6233806.176780924, 578901.7382027514 6233806.00681552, 578907.6257355787 6233806.126791099, 578918.691658624 6233806.826648645, 578927.2838283805 6233807.896430894, 578937.574642062 6233809.006205003, 578945.6967986936 6233809.46611139, 578952.9284041412 6233809.666070689, 578958.8406745015 6233809.666070689, 578961.5947864964 6233809.666070689, 578964.035556408 6233809.406123601, 578966.3443928108 6233808.916223318, 578969.1809632487 6233808.136382053, 578972.3968425242 6233807.356540787, 578979.2079099127 6233806.226770748, 578983.8338285628 6233805.546909133, 578994.0916588671 6233804.907039376, 579002.3539948517 6233804.887043446, 579010.3607096632 6233804.747071937, 579016.6357971726 6233804.99702106, 579021.1957490682 6233805.326953904, 579026.563793705 6233805.856846046, 579035.1807009943 6233807.116589629, 579060.6933432462 6233809.246156162, 579068.5186494832 6233808.61628437, 579074.1752986703 6233807.476516367, 579088.6055261884 6233804.4671289185, 579091.5575384464 6233804.167189971, 579094.1879627769 6233803.977228637, 579096.5545200898 6233804.087206251, 579098.9128315585 6233804.737073972, 579101.9555481038 6233806.176780924, 579109.1046951084 6233809.4861073205, 579129.9914187103 6233818.434285944), (578677.5336963417 6234017.89368656, 578656.5810059855 6234013.554569775, 578640.8809184458 6234009.415412288, 578633.2040374061 6234005.55619782, 578592.337633075 6233973.602701862), (578704.5553280999 6233980.911214235, 578736.5574498129 6234003.526610937, 578768.7409801004 6234027.671696275), (578367.4981966546 6234743.166059466, 578377.0963594151 6234743.016089992, 578387.9313988201 6234741.1564685125, 578399.846643828 6234736.35744534, 578406.0392728943 6234732.02832652, 578410.8301084302 6234726.139525168, 578416.9979999637 6234717.331318053, 578427.3960096211 6234706.8734467225, 578436.5159134124 6234701.174606705), (578436.5159134124 6234701.174606705, 578447.8621951638 6234695.88568325, 578467.5615171872 6234690.646749619, 578474.0015215824 6234688.567172912, 578481.1589144313 6234683.448214861, 578485.7600955485 6234678.479226284, 578489.6933632777 6234671.450656929, 578492.348525141 6234662.932390797, 578495.7623046796 6234648.785270403, 578498.8050212249 6234633.5783657245, 578505.772759655 6234592.306766439, 578506.6468191504 6234587.547735126, 578511.8087176797 6234564.792366915, 578514.5051087645 6234554.064550531, 578521.0523091356 6234533.618712223, 578526.1812242877 6234518.891709861, 578548.8078210361 6234464.282825342, 578551.2980660135 6234457.594186795, 578553.1121517586 6234451.505426144, 578554.1016530741 6234447.726195396, 578554.571666199 6234444.1869158065, 578554.8520249052 6234436.348511291, 578554.513945289 6234427.350342842, 578551.6278997853 6234408.174246081), (578551.6278997853 6234408.174246081, 578539.0612330781 6234318.782441524, 578538.3355987801 6234309.364358548, 578537.634702015 6234299.216424131, 578538.4015655345 6234287.098890619, 578542.2441289765 6234271.132140605, 578544.6106862894 6234264.073577356, 578553.1533809801 6234247.157020671, 578564.8130048148 6234226.671190503, 578574.7492471915 6234212.174141335, 578584.0917887789 6234199.1967828395), (578584.0917887789 6234199.1967828395, 578596.9965351023 6234182.940091842, 578598.7776374702 6234180.7405395545, 578603.6426856049 6234174.971713782, 578615.3682761939 6234157.195332113, 578622.4184730669 6234144.687877969, 578631.9754066061 6234123.8021292025), (578631.9754066061 6234123.8021292025, 578646.6859928302 6234092.838431774, 578650.0008222372 6234085.819860384), (578650.0008222372 6234085.819860384, 578651.608761875 6234081.910656091, 578664.1919202707 6234052.996541476, 578674.086933426 6234026.142007639, 578677.5336963417 6234017.89368656), (578677.5336963417 6234017.89368656, 578689.7622834328 6234000.957133947, 578704.5553280999 6233980.911214235), (578704.5553280999 6233980.911214235, 578754.525144534 6233912.39516048, 578762.71326792 6233901.827311535, 578790.1884211143 6233862.095398851, 578806.9274850354 6233839.999896327, 578811.2235699137 6233835.270858909, 578817.556378333 6233827.352470674, 578823.2377650529 6233816.654648185), (578823.2377650529 6233816.654648185, 578818.4799128941 6233813.485293297, 578815.9731762281 6233808.736259949, 578815.8412427193 6233804.507120779, 578817.1605778068 6233800.287979572, 578820.203294352 6233796.188813946, 578824.689033649 6233794.339190431, 578830.230241016 6233794.869082574, 578835.1200266836 6233797.778490372, 578838.1544973844 6233802.267576631), (578838.1544973844 6233802.267576631, 578856.9055473137 6233797.508545319, 578867.8642743832 6233793.5493512), (578867.8642743832 6233793.5493512, 578873.4384651273 6233789.580159118, 578881.395704873 6233783.491398468, 578888.0418553756 6233777.742568626, 578893.9046506701 6233772.223691978, 578901.3506480694 6233763.865393285, 578906.3476297128 6233757.696648914), (578906.3476297128 6233757.696648914, 578909.5140339225 6233753.737454797, 578920.2831065732 6233737.780702748, 578962.8399089851 6233672.633963179, 578988.3195678599 6233634.661692324, 579028.0315539896 6233573.06423031, 579038.1162215637 6233554.51800534, 579046.8238331403 6233534.911996086, 579067.9414403825 6233483.572446103, 579081.5305917824 6233450.789119055, 579093.7014579633 6233423.564660515), (579093.7014579633 6233423.564660515, 579108.2141439244 6233399.329593493, 579111.4382690442 6233394.080661898, 579115.891024964 6233387.851929737), (578823.2377650529 6233816.654648185, 578828.2429925406 6233816.914595273, 578832.3411771557 6233815.864808954, 578835.6395148742 6233813.615266842, 578838.0143180315 6233810.445911955, 578838.8059190839 6233805.696878606, 578838.1544973844 6233802.267576631), (578436.5159134124 6234701.174606705, 578431.1148853985 6234696.275603883, 578361.2313549896 6234696.445569287), (578551.6278997853 6234408.174246081, 578531.7059399661 6234412.66333234, 578501.4766747768 6234419.241993273), (578501.4766747768 6234419.241993273, 578495.6221253265 6234421.691494684, 578485.883783213 6234425.420735608, 578474.8096143233 6234430.3497323245, 578452.8674226515 6234443.1371294875), (578452.8674226515 6234443.1371294875, 578436.5983718554 6234453.225076115), (578436.5983718554 6234453.225076115, 578424.2048678785 6234460.883517262, 578410.2199159524 6234467.952078477, 578400.7454408562 6234471.561343821, 578386.2822299609 6234476.180403625, 578358.0814424685 6234481.979223291), (578501.4766747768 6234419.241993273, 578487.6648855809 6234352.475583383), (578452.8674226515 6234443.1371294875, 578458.4416133957 6234452.295265375, 578460.0577988777 6234456.374435072, 578461.2204629234 6234463.7529331995, 578465.2939100057 6234495.076557367), (578358.0814424685 6234481.979223291, 578363.639141524 6234524.8404990025), (578358.0814424685 6234481.979223291, 578346.2404100593 6234389.168114724), (578436.5983718554 6234453.225076115, 578431.5601609906 6234445.036742826, 578428.3030524936 6234438.108153121, 578426.4972125927 6234430.479705869, 578418.5894479129 6234368.842251995), (578631.9754066061 6234123.8021292025, 578636.2962290172 6234126.051671315, 578659.1207260287 6234141.208586169, 578682.0194356388 6234112.9943291), (578682.0194356388 6234112.9943291, 578702.8401924863 6234130.070853222), (578682.0194356388 6234112.9943291, 578650.0008222372 6234085.819860384), (578584.0917887789 6234199.1967828395, 578590.1689760251 6234202.606088885, 578606.9987442333 6234210.294523926, 578619.6973444492 6234215.203524713, 578637.0960759139 6234220.4524563085, 578674.8208135683 6234228.560805878))"
Volden,Klostertorv/Vesterbro Torv,104.5,11429.0,Høiriisgårdsvej,Haslevej,Grønvej,Havnegade,Sønderholmvej,104.4,105.0,104.0,105.0,104.0,Brabrand-Gellerup,Åby,Sabro,Skolegade/Bispetorv/Europaplads,Hasselager-Kolt,2,"LINESTRING (575034.2228359522 6224264.129037146, 575060.9063880942 6224324.26679628, 575063.6110250233 6224330.865453142, 575067.5937678183 6224340.293534083, 575071.6672149006 6224349.981562113, 575074.6687022243 6224356.620210836, 575077.0599970701 6224359.959531127, 575082.8650714546 6224367.138069956, 575091.8860251145 6224376.12624044, 575095.5306882933 6224378.8756808, 575099.0928930292 6224380.9852514025, 575105.6236017117 6224386.274174857, 575108.888956053 6224389.103598936, 575119.1880155787 6224405.140334705, 575126.1722456975 6224419.327446959)"
Værkmestergade,Rådhuskvarteret,72.0,10000.0,Kastrup Skovvej,Gammel Landevej,Høgevej,Kappelvænget,Dortesvej,72.0,73.0,73.0,70.4,70.3,Hjortshøj,Trige-Spørring,Hasle,Hasle,Brabrand-Gellerup,1,"MULTILINESTRING ((575170.0401373524 6223423.7400958855, 575138.359603567 6223432.208372192, 575093.3290478663 6223446.545453921, 575055.109559554 6223458.453030168, 575038.6096251177 6223463.0420960765, 575025.135915538 6223464.761746047, 575012.6517072737 6223464.481803029, 575000.6045287572 6223461.892330108, 574988.8459547911 6223456.593408688, 574978.5221577324 6223448.984957366, 574965.7575907621 6223434.507904129), (574965.7575907621 6223434.507904129, 574961.4532600396 6223436.797438101, 574957.2066502271 6223437.197356699, 574953.4218076952 6223435.607680272, 574950.3708453056 6223433.288152406, 574948.4165802075 6223429.019021375, 574948.5402678719 6223424.989841503, 574949.7606528278 6223422.060437775), (574949.7606528278 6223422.060437775, 574918.4264445028 6223404.813948248, 574893.8290909677 6223391.18672203, 574851.0908799812 6223372.540517411, 574804.625547373 6223357.053669714, 574737.1415576541 6223336.977756108, 574698.4932854385 6223324.350326385, 574679.1320430314 6223319.331347984, 574659.7708006243 6223315.752076535, 574642.8420822845 6223313.312573088, 574619.8938976086 6223311.013041151, 574598.5289150375 6223310.583128659, 574561.6699910342 6223309.43336269, 574491.1103013929 6223307.573741211, 574457.9784990114 6223307.573741211, 574386.412816366 6223308.8634786885, 574307.3928904769 6223310.583128659, 574271.2513549273 6223311.302982135, 574243.2814510751 6223311.872866136, 574223.2028202142 6223311.442953643, 574201.6894124458 6223310.013244657, 574180.6047885808 6223307.433769702, 574156.9392154511 6223303.554559303, 574129.3980955023 6223297.385814934, 574102.5826098516 6223289.367447049, 574071.8915773816 6223278.609636771, 574039.7657680042 6223267.131973016, 573971.3582437242 6223242.60696501, 573858.769485706 6223202.595109308, 573817.325872274 6223187.678145613, 573802.9781031989 6223181.369429734, 573788.4984006151 6223173.481035394, 573773.1528843801 6223163.872991083, 573740.3096865489 6223139.487954587, 573682.935101937 6223100.475895379, 573655.8310117358 6223082.979456727), (574965.7575907621 6223434.507904129, 574968.4374901582 6223430.728673381, 574969.4104997852 6223425.599717365, 574967.9509853448 6223420.710712507, 574962.8220701927 6223417.291408497), (574962.8220701927 6223417.291408497, 574957.454025556 6223416.561557056, 574951.5912302615 6223418.761109344, 574949.7606528278 6223422.060437775), (574962.8220701927 6223417.291408497, 574968.0087062549 6223402.414436662, 574969.517695761 6223395.365871376, 574969.6908584913 6223391.006758661, 574968.511702757 6223385.297920679, 574962.302582002 6223352.244648577, 575058.6222892242 6223335.298097998, 575080.4407932316 6223442.0163758015))"
Willemoesgade,Trøjborg,134.0,8531.666666666666,Lokesvej,Skovmærkevej,Skejbytoften,Tommy Seebachs Gade,Bernhardt Jensens Boulevard,133.8,133.5,133.5,134.6,133.3,Åby,Vejlby-Risskov,Skejby-Christiansbjerg,Ceresbyen/Godsbanen,De Bynære Havnearealer/Aarhus Ø,3,"MULTILINESTRING ((575303.1528018236 6225634.580085799, 575328.0140223762 6225717.203268089, 575327.6264676943 6225729.470771074, 575311.1182874135 6225824.691389193, 575297.6858070553 6225900.505957357, 575277.7885847689 6226013.1130365115, 575272.8987991014 6226040.187525578), (575266.3845821074 6226072.360976765, 575245.7122504573 6226159.183304331, 575224.4709555507 6226247.535320533, 575222.9372285116 6226253.914022167))"
Åboulevarden,Skolegade/Bispetorv/Europaplads,155.1,9183.09090909091,Bøgegade,Vestre Strandalle,Møllevejen,Østergade,Kløvermarksvej,154.3,155.9,156.0,154.1,154.0,Skejby-Christiansbjerg,Vejlby-Risskov,Botanisk Have/Amtssygehuset,TelefonTorvet,Skejby-Christiansbjerg,22,"MULTILINESTRING ((574853.6306000244 6224150.1222429, 574846.8690077016 6224170.4281097, 574842.6966104879 6224183.785390863), (574853.6306000244 6224150.1222429, 574773.79433555 6224117.128958588, 574753.8641298865 6224108.570700596, 574693.1169949574 6224085.075482979, 574621.4276246476 6224058.520888091), (575325.1197310282 6223829.92741763, 575304.6205621082 6223860.341226988, 575268.1409469425 6223918.189452149, 575261.6844508587 6223932.426554228, 575258.5757675591 6223939.04520702, 575213.116427955 6223976.247634574, 575164.8287637574 6224018.778977442, 575118.9901153155 6224067.069148117, 575104.3042666243 6224082.645977499, 575088.752604282 6224097.592935089, 575066.63724988 6224120.968177126, 575047.0945988983 6224140.624176204, 575024.3608061741 6224162.749672623, 575007.1517291282 6224177.566656669, 574985.3167334324 6224193.073500296, 574974.2260728541 6224195.253056653, 574967.1264009152 6224193.983315106, 574960.2163833951 6224189.794167794, 574939.4780849905 6224181.6058345055, 574906.9152458655 6224171.417908229, 574861.9918861405 6224154.47135765, 574853.6306000244 6224150.1222429), (574853.6306000244 6224150.1222429, 574858.1410768543 6224137.1048925435, 574858.8337277753 6224132.775773724, 574856.5826122824 6224128.086728165, 574851.8989727222 6224124.787399734, 574800.5356086021 6224101.542131241, 574761.1781937771 6224085.455405648, 574758.4323276265 6224084.285643749, 574641.0362423836 6224037.735118974, 574626.6719816199 6224032.066272851, 574570.7816489813 6224009.710823238, 574566.4608265702 6224008.021167163, 574559.43536723 6224006.941386949, 574503.454330304 6224001.622469599))"
Åbovej,Stavtrup-Ormslev,81.0,6500.0,Østergårdsvej,Edwin Rahrs Vej,Trige Parkvej,Hasselengen,Skolevangs Alle,81.5,82.5,79.0,79.0,83.0,Solbjerg,Brabrand-Gellerup,Trige-Spørring,Hasselager-Kolt,Vejlby-Risskov,1,"MULTILINESTRING ((564532.9504705137 6220281.909606395, 564528.7203523898 6220303.09529411, 564522.1154311087 6220341.64744693, 564518.0749674037 6220367.452194449), (564727.4616916132 6220306.794541138, 564727.9646881153 6220300.165890382, 564728.3027677315 6220295.546830578, 564728.9706811194 6220289.758008876, 564732.8379820943 6220267.192601999, 564732.9616697587 6220265.053037501, 564733.8357292541 6220258.744321622, 564736.062107214 6220249.426218295, 564741.8094606884 6220230.5600584475), (564164.9137020481 6220157.06501815, 564162.3574903164 6220149.006658406, 564160.6506005471 6220143.267826528, 564141.4130458044 6220084.759735681, 564111.4971226983 6219996.067788671, 564096.0114271103 6219950.966968812, 564067.3571181815 6219864.064657526, 564046.091085742 6219802.227244353, 564038.7193009413 6219779.79181102, 564021.914270266 6219730.051935428, 564013.4705257069 6219704.537128893, 564002.3303900629 6219671.403873072, 563978.6070960232 6219603.8676198805), (564549.4998800159 6220282.269533133, 564552.122058502 6220260.014063169, 564554.5051075036 6220240.468041706, 564560.6070322826 6220183.39965781, 564561.5965335981 6220174.341501572), (564210.5874336039 6220147.726918893, 564211.6099182967 6220142.15805242, 564213.0446952041 6220138.098878653, 564216.161624348 6220133.6197903585, 564220.754559621 6220130.540417156, 564226.0813750362 6220128.8307651505, 564231.8369743548 6220128.490834342, 564236.4876305378 6220130.100506699, 564241.4103995826 6220133.369841235, 564243.90064456 6220137.508998721, 564245.6157801736 6220142.3780076485, 564246.2754477173 6220147.077051172, 564244.8324249655 6220151.286194413, 564241.8639210189 6220155.915252182, 564239.0933173354 6220158.434739348, 564233.3954389268 6220161.734067778), (565211.3195890612 6220245.676981441, 565197.8788628586 6220255.125058313, 565175.7222792351 6220266.04283603, 565151.6444138907 6220273.131393175, 565145.44353898 6220274.4811184425, 565137.5440201444 6220275.430925112, 565126.0987882614 6220276.310746027, 565045.561627022 6220283.449292996, 564937.8873922041 6220293.237300675, 564863.740760294 6220299.745975854, 564839.1021775374 6220301.775562737, 564807.1000558245 6220304.395029552, 564790.9134634713 6220305.674769065, 564754.8956155862 6220307.044490262, 564727.4616916132 6220306.794541138), (564727.4616916132 6220306.794541138, 564709.9805017055 6220305.814740574, 564692.4086075107 6220304.225064148, 564675.7767395655 6220301.555607509, 564581.0814636698 6220287.708426062, 564549.4998800159 6220282.269533133), (564549.4998800159 6220282.269533133, 564514.5704835778 6220274.911030935, 564485.470899057 6220267.702498211, 564276.8592842113 6220210.384165192, 564268.3825562749 6220207.874675991, 564258.1742010365 6220201.505972322, 564250.6045159727 6220195.197256443, 564243.9666113143 6220186.039120555, 564233.3954389268 6220161.734067778), (564210.5874336039 6220147.726918893, 564164.9137020481 6220157.06501815), (564164.9137020481 6220157.06501815, 564062.2282030294 6220183.429651706, 563904.5181850231 6220225.041181798, 563787.4436877078 6220255.365009471, 563715.8862509067 6220273.99121816, 563691.6104852991 6220280.779836357, 563662.4119506468 6220286.888592937, 563644.9637441164 6220290.547848106, 563605.4331665611 6220295.10692012, 563580.332816524 6220296.94654567, 563562.2826633599 6220297.256482583, 563536.687562665 6220296.776580266, 563360.4573783698 6220285.228930756, 563316.2266695658 6220283.029378469, 563250.4825529933 6220278.38032477, 563235.0628241597 6220280.739844496, 563219.9234540322 6220290.957764668), (564210.5874336039 6220147.726918893, 564213.0446952041 6220154.735492318, 564217.5634178784 6220158.774670156, 564223.7725386333 6220161.204175636, 564229.3467293774 6220161.974018937, 564233.3954389268 6220161.734067778))"
Åbyvej,Åby,134.9,11364.285714285714,Fiskergade,Tommy Seebachs Gade,Frederiks Alle,Bytoften,Lundingsgade,134.8,134.6,135.3,135.5,135.5,Fredens Torv,Ceresbyen/Godsbanen,Frederiksbjerg Vest,Vejlby-Risskov,Frederiksbjerg Vest,7,"MULTILINESTRING ((572113.3221484952 6222907.035269658, 572112.5223015986 6222924.571700169, 572110.3206611716 6222934.189742444, 572109.6445019393 6222946.637208798), (571761.2328428982 6222934.609656972, 571751.1811587013 6222909.944677456, 571728.2659574026 6222918.003037201), (571770.4681885098 6222930.870418083, 571758.0746845328 6222897.6671765065, 571774.2118018202 6222894.507819585), (572869.5072996645 6224029.056885404, 572873.8116303871 6224008.591051165, 572879.0972165809 6223987.925257627, 572890.3198106678 6223950.252925721, 572911.2065342697 6223871.139029127, 572915.8984196741 6223854.592397145, 572904.1068623308 6223848.693597829, 572859.6287781979 6223814.800496671, 572832.2113459135 6223794.414646152, 572793.9093991583 6223766.78027105, 572785.094591606 6223760.43156331, 572773.2782967297 6223751.523376547, 572739.1075179668 6223728.138136544, 572722.7065336619 6223717.100383247, 572714.5431478089 6223711.681486248, 572687.166944746 6223700.173828598, 572585.9656977006 6223660.201964756, 572544.3489215384 6223643.315401967, 572490.1737245134 6223623.979337767, 572401.8195028811 6223592.885666793, 572405.2580199527 6223585.59715035, 572406.5608633514 6223581.398005074, 572407.3772019367 6223576.958908639, 572407.7400190857 6223571.370046236, 572408.3007364979 6223561.452065012, 572409.529367298 6223542.41593976, 572410.2714932846 6223530.148436775, 572410.6425562779 6223505.50345319, 572409.0181249516 6223476.819291769, 572400.170334022 6223389.317102586, 572394.9672062711 6223341.216893245, 572390.3000583996 6223312.812674841, 572385.1546515588 6223287.177892727, 572376.3315981621 6223257.3539633015, 572368.7454214097 6223234.948523864, 572362.3631379246 6223219.461676166, 572355.8489209308 6223204.264769454, 572347.7185184548 6223185.038682868, 572331.4412218144 6223147.70628177, 572318.8828009515 6223119.022120348, 572299.9420966035 6223075.590960635, 572282.1723021455 6223035.539113073, 572279.5253861265 6223029.400362598, 572269.6963397256 6223007.594801056, 572257.9872408252 6222984.299542739, 572231.8149310296 6222932.610063983, 572224.1462958342 6222925.471517013, 572216.4611689503 6222920.172595593, 572198.4110157862 6222910.224620475, 572190.0827130472 6222906.855306289, 572182.8511075996 6222906.4853815865, 572150.5356438033 6222906.665344955, 572113.3221484952 6222907.035269658), (572113.3221484952 6222907.035269658, 572061.9340468423 6222907.335208607, 572000.9890116502 6222908.205031557, 571994.3923362134 6222908.315009171), (571994.3923362134 6222908.315009171, 571966.1833028765 6222908.424986785, 571947.3415486601 6222908.065060047, 571912.1153018273 6222906.625353096, 571864.3553716646 6222903.455998208, 571856.2084775001 6222903.296030769, 571848.6470382806 6222903.825922912, 571841.6875456948 6222904.945694985, 571834.7775281747 6222906.145450778, 571826.45747128 6222908.265019346, 571821.4357521037 6222910.1046448955), (571821.4357521037 6222910.1046448955, 571818.2033811397 6222911.544351848, 571798.355633919 6222919.80267089, 571770.4681885098 6222930.870418083), (571770.4681885098 6222930.870418083, 571761.2328428982 6222934.609656972), (571761.2328428982 6222934.609656972, 571676.0285337871 6222968.342790689), (571821.4357521037 6222910.1046448955, 571816.5294747476 6222898.80694451, 571812.8518281915 6222887.779189178, 571811.7551309002 6222881.820402072, 571810.1142078852 6222866.26356862), (571994.3923362134 6222908.315009171, 571994.0377649086 6222899.59678374, 571994.3923362134 6222890.388658028, 571995.8271131208 6222880.110750066, 571996.6599433947 6222868.633086312, 571994.1532067287 6222862.78427682, 571986.7401927066 6222859.554934143))"
Åhusene,Ceresbyen/Godsbanen,152.0,9308.333333333334,Klokkeskovvej,Christian X's Vej,Esther Aggebos Gade,Gebauersgade,Dagmar Petersens Gade,152.0,151.3,151.0,150.9,153.1,Stavtrup-Ormslev,Viby,De Bynære Havnearealer/Aarhus Ø,Rådhuskvarteret,De Bynære Havnearealer/Aarhus Ø,9,"MULTILINESTRING ((573842.8220228374 6223673.319294761, 573847.8354961694 6223688.5861872295, 573851.0183920676 6223693.255236858, 573855.0506099284 6223695.804717918, 573860.1382958591 6223698.354198978, 573853.5581121108 6223730.607633885), (573853.5581121108 6223730.607633885, 573862.2657236875 6223732.517245189, 573869.4808374465 6223731.877375433, 573875.1045032564 6223727.318303419, 573882.1052250637 6223727.318303419, 573887.5227447663 6223732.0973306615, 573898.3412924827 6223734.21689923, 573905.8779941692 6223738.775971244), (573853.5581121108 6223730.607633885, 573839.1278845927 6223730.607633885, 573834.4607367212 6223726.14854152, 573820.8798311657 6223724.028972953, 573811.9660734816 6223722.329318913, 573803.0523157975 6223724.028972953, 573795.6228100868 6223730.397676622, 573782.0419045312 6223734.426856494, 573774.8267907721 6223733.796984702, 573762.5157452382 6223737.396252082, 573749.1492316342 6223743.984910979, 573741.0847959127 6223745.254652527, 573732.8059682396 6223744.404825507, 573726.0113925396 6223746.104479548, 573715.3989909305 6223750.983486439, 573709.6681291448 6223756.712320352))"
