web-scraper-order,web-scraper-start-url,price,address,type_rooms_kvm
1684829059-105,https://boligzonen.dk/lejebolig/aarhus,7.850,"Regenburgsgade, Aarhus C",Lejlighed / 2 vær. / 68 m2
1684829063-106,https://boligzonen.dk/lejebolig/aarhus,8.200,"Finderupvej, Aarhus C",Lejlighed / 2 vær. / 61 m2
1684829063-107,https://boligzonen.dk/lejebolig/aarhus,14.075,"H.N., Aarhus C",Lejlighed / 3 vær. / 89 m2
1684829063-108,https://boligzonen.dk/lejebolig/aarhus,9.500,"Lundingsgade, Aarhus C",Lejlighed / 2 vær. / 84 m2
1684829063-109,https://boligzonen.dk/lejebolig/aarhus,10.500,"Nordre Strandvej, Risskov",Lejlighed / 9 vær. / 92 m2
1684829063-110,https://boligzonen.dk/lejebolig/aarhus,3.200,"Nyborggade, Aarhus C",Værelse / 1 vær. / 15 m2
1684829063-111,https://boligzonen.dk/lejebolig/aarhus,13.995,"Sønder Allé, Aarhus C",Lejlighed / 4 vær. / 130 m2
1684829063-112,https://boligzonen.dk/lejebolig/aarhus,10.845,"Jyllands Allé, Aarhus C",Lejlighed / 3 vær. / 92 m2
1684829063-113,https://boligzonen.dk/lejebolig/aarhus,8.995,"Skovvejen, Aarhus C",Lejlighed / 2 vær. / 62 m2
1684829063-114,https://boligzonen.dk/lejebolig/aarhus,10.336,"Skanderborgvej, Aarhus C",Lejlighed / 4 vær. / 95 m2
1684829063-115,https://boligzonen.dk/lejebolig/aarhus,8.495,"Jægergårdsgade, Aarhus C",Lejlighed / 2 vær. / 67 m2
1684829063-116,https://boligzonen.dk/lejebolig/aarhus,8.482,"Guldsmedgade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829063-117,https://boligzonen.dk/lejebolig/aarhus,6.995,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 49 m2
1684829063-118,https://boligzonen.dk/lejebolig/aarhus,6.000,"H., Aarhus C",Lejlighed / 1 vær. / 38 m2
1684829063-119,https://boligzonen.dk/lejebolig/aarhus,8.800,"Frederiksbjerg, Aarhus C",Lejlighed / 1 vær. / 87 m2
1684829063-120,https://boligzonen.dk/lejebolig/aarhus,5.670,"Brassøvej, Risskov",Lejlighed / 1 vær. / 39 m2
1684829067-121,https://boligzonen.dk/lejebolig/aarhus,2.900,"Nyborggade, Aarhus C",Værelse / 1 vær. / 15 m2
1684829067-122,https://boligzonen.dk/lejebolig/aarhus,9.300,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 72 m2
1684829067-123,https://boligzonen.dk/lejebolig/aarhus,8.000,"Børglumvej, Risskov",Lejlighed / 3 vær. / 58 m2
1684829067-124,https://boligzonen.dk/lejebolig/aarhus,9.995,"Telefontorvet, Aarhus C",Lejlighed / 3 vær. / 107 m2
1684829067-125,https://boligzonen.dk/lejebolig/aarhus,11.659,"Kildegården , Aarhus C",Lejlighed / 4 vær. / 111 m2
1684829067-126,https://boligzonen.dk/lejebolig/aarhus,8.200,"østboulevarden, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829067-127,https://boligzonen.dk/lejebolig/aarhus,8.900,"Gøteborg Allé, Aarhus N",Lejlighed / 3 vær. / 72 m2
1684829067-128,https://boligzonen.dk/lejebolig/aarhus,14.825,"Søren Frichs Vej, Aarhus C",Lejlighed / 4 vær. / 99 m2
1684829067-129,https://boligzonen.dk/lejebolig/aarhus,11.554,"Museumsgade, Aarhus C",Lejlighed / 4 vær. / 94 m2
1684829067-130,https://boligzonen.dk/lejebolig/aarhus,1.448,"Klostergade, Aarhus C",Lejlighed / 1 vær. / 10 m2
1684829067-131,https://boligzonen.dk/lejebolig/aarhus,5.000,"Olof Palmes Allé , Aarhus N",Lejlighed / 1 vær. / 30 m2
1684829067-132,https://boligzonen.dk/lejebolig/aarhus,3.500,"Jens Baggesens Vej, Aarhus N",Værelse / 1 vær. / 20 m2
1684829067-133,https://boligzonen.dk/lejebolig/aarhus,7.000,"Skanderborgvej , Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829067-134,https://boligzonen.dk/lejebolig/aarhus,15.700,"Bestlasgade, Åbyhøj",Lejlighed / 4 vær. / 131 m2
1684829067-135,https://boligzonen.dk/lejebolig/aarhus,7.500,"Jens Baggesens Vej, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829071-136,https://boligzonen.dk/lejebolig/aarhus,8.400,"Lokesvej, Åbyhøj",Lejlighed / 2 vær. / 62 m2
1684829071-137,https://boligzonen.dk/lejebolig/aarhus,13.000,"Thit Jensens Gade, Aarhus C",Lejlighed / 5 vær. / 115 m2
1684829071-138,https://boligzonen.dk/lejebolig/aarhus,11.500,"Søndre Ringgade, Aarhus C",Lejlighed / 3 vær. / 101 m2
1684829071-139,https://boligzonen.dk/lejebolig/aarhus,5.996,"Vesterbrogade, Aarhus C",Lejlighed / 1 vær. / 54 m2
1684829071-140,https://boligzonen.dk/lejebolig/aarhus,9.000,"Malmøgade, Aarhus N",Lejlighed / 3 vær. / 65 m2
1684829071-141,https://boligzonen.dk/lejebolig/aarhus,4.875,"Emiliedalsvej, Højbjerg",Lejlighed / 1 vær. / 38 m2
1684829071-142,https://boligzonen.dk/lejebolig/aarhus,10.895,"Daugbjergvej, Aarhus C",Lejlighed / 3 vær. / 83 m2
1684829071-143,https://boligzonen.dk/lejebolig/aarhus,4.000,"Bergensgade Kl, Aarhus N",Værelse / 1 vær. / 23 m2
1684829071-144,https://boligzonen.dk/lejebolig/aarhus,11.091,"Sandbakken, Højbjerg",Lejlighed / 4 vær. / 110 m2
1684829071-145,https://boligzonen.dk/lejebolig/aarhus,7.633,"Grøfthøjparken, Viby J",Lejlighed / 4 vær. / 108 m2
1684829071-146,https://boligzonen.dk/lejebolig/aarhus,10.600,"Emiliedalsvej, Højbjerg",Lejlighed / 3 vær. / 84 m2
