web-scraper-order,price,address,kvm,rooms
1684834100-167,"6.500,- pr. mdr.","Ringen, Århus N",54 m²,1 vær.
1684834100-168,"7.195,- pr. mdr.","Arresøvej, Risskov",510 m²,2 vær.
1684834100-169,"14.695,- pr. mdr.","Kræsten Iversens Vej, Højbjerg",132 m²,4 vær.
1684834100-170,"11.851,- pr. mdr.","Katrinebjergvej, Århus N",77 m²,3 vær.
1684834100-171,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-172,"8.200,- pr. mdr.","Bifrostgade, Åbyhøj",60 m²,1 vær.
1684834100-173,"5.495,- pr. mdr.","Kappelvænget, Århus V",530 m²,2 vær.
1684834100-174,"5.200,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-175,"12.200,- pr. mdr.","Christian X´s Vej, Viby J",114 m²,4 vær.
1684834100-176,"6.650,- pr. mdr.","Vestre Strandallé, Risskov",37 m²,1 vær.
1684834100-177,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",39 m²,1 vær.
1684834100-178,"9.775,- pr. mdr.","Holme Møllevej, Viby J",85 m²,3 vær.
1684834100-179,"10.995,- pr. mdr.","Holme Møllevej, Viby J",96 m²,4 vær.
1684834100-180,"7.500,- pr. mdr.","Kongevellen, Risskov",51 m²,2 vær.
1684834100-181,"9.842,- pr. mdr.","Christian X´s Vej, Viby J",90 m²,3 vær.
1684834100-182,"4.950,- pr. mdr.","Vestre Strandallé, Risskov",31 m²,1 vær.
1684834100-183,"10.371,- pr. mdr.","Broloftet, Risskov",93 m²,3 vær.
1684834100-184,"13.000,- pr. mdr.","Thit Jensens Gade, Århus C",115 m²,5 vær.
1684834100-185,"11.659,- pr. mdr.","Kildegården, Århus C",111 m²,4 vær.
1684834100-186,"6.900,- pr. mdr.","Vestre Strandallé, Risskov",48 m²,1 vær.
1684834100-187,"5.450,- pr. mdr.","Vestre Strandallé, Risskov",33 m²,1 vær.
1684834100-188,"7.300,- pr. mdr.","Kongevellen, Risskov",51 m²,2 vær.
1684834100-189,"8.395,- pr. mdr.","Abildhaven, Lystrup",85 m²,3 vær.
1684834100-190,"11.418,- pr. mdr.","Strandparken, Århus C",107 m²,4 vær.
1684834100-191,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",41 m²,1 vær.
1684834100-192,"9.700,- pr. mdr.","Amaliegade, Århus C",103 m²,2 vær.
1684834100-193,"16.068,- pr. mdr.","Rosenkrantzgade, Århus C",155 m²,4 vær.
1684834100-194,"11.250,- pr. mdr.","Olof Palmes Allé, Århus N",103 m²,4 vær.
1684834100-195,"10.295,- pr. mdr.","Vesterbrogade, Århus C",74 m²,3 vær.
1684834100-196,"16.900,- pr. mdr.","Peter Sabroes Gade, Århus C",110 m²,5 vær.
1684834100-197,"11.200,- pr. mdr.","Engtoften, Viby J",100 m²,3 vær.
1684834100-198,"12.195,- pr. mdr.","Otte Ruds Gade, Århus N",103 m²,4 vær.
1684834100-199,"7.500,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-200,"12.115,- pr. mdr.","Christian X's Vej, Viby J",112 m²,4 vær.
1684834100-201,"8.395,- pr. mdr.","Abildhaven, Lystrup",84 m²,3 vær.
1684834100-202,"9.700,- pr. mdr.","Broloftet, Risskov",82 m²,3 vær.
1684834100-203,"9.250,- pr. mdr.","Bifrostgade, Åbyhøj",73 m²,1 vær.
1684834100-204,"9.400,- pr. mdr.","Guldsmedgade, Århus C",66 m²,2 vær.
1684834100-205,"8.609,- pr. mdr.","Kværnloftet, Risskov",69 m²,2 vær.
1684834100-206,"6.350,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-207,"7.400,- pr. mdr.","Arresøvej, Risskov",50 m²,2 vær.
1684834100-208,"9.996,- pr. mdr.","Eya Jensens Gade, Risskov",85 m²,4 vær.
1684834100-209,"8.395,- pr. mdr.","Abildhaven, Lystrup",84 m²,3 vær.
1684834100-210,"6.150,- pr. mdr.","Vestre Strandallé, Risskov",41 m²,1 vær.
1684834100-211,"7.100,- pr. mdr.","Kongevellen, Risskov",52 m²,2 vær.
1684834100-212,"5.495,- pr. mdr.","Kappelvænget, Århus V",480 m²,2 vær.
1684834100-213,"9.995,- pr. mdr.","Paludan Müllers Vej, Århus V",109 m²,4 vær.
1684834100-214,"9.800,- pr. mdr.","Engtoften, Viby J",85 m²,3 vær.
1684834100-215,"6.500,- pr. mdr.","Nordlandsvej, Risskov",50 m²,2 vær.
1684834100-216,"9.975,- pr. mdr.","Arresøvej, Risskov",78 m²,3 vær.
1684834100-217,"6.975,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-218,"9.600,- pr. mdr.","Borggade, Århus C",61 m²,2 vær.
1684834100-219,"5.295,- pr. mdr.","Vestergårdsvej, Viby J",33 m²,1 vær.
1684834100-220,"13.150,- pr. mdr.","Lokesvej, Åbyhøj",113 m²,3 vær.
1684834100-221,"5.300,- pr. mdr.","Christian X's Vej, Viby J",29 m²,1 vær.
1684834100-222,"5.750,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-223,"10.300,- pr. mdr.","Kværnloftet, Risskov",100 m²,3 vær.
1684834100-224,"5.100,- pr. mdr.","Christian X's Vej, Viby J",29 m²,1 vær.
1684834100-225,"9.600,- pr. mdr.","Kongevellen, Risskov",68 m²,2 vær.
1684834100-226,"9.475,- pr. mdr.","Ceresbyen, Århus C",61 m²,2 vær.
1684834100-227,"7.300,- pr. mdr.","Jens Baggesens Vej, Århus N",48 m²,2 vær.
1684834100-228,"9.400,- pr. mdr.","Nørre Alle, Århus C",94 m²,2 vær.
1684834100-229,"9.400,- pr. mdr.","Trøjborgvej, Århus N",67 m²,3 vær.
1684834100-230,"6.975,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-231,"7.300,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-232,"7.300,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-233,"6.500,- pr. mdr.","Damagervej, Viby J",55 m²,2 vær.
1684834100-234,"6.350,- pr. mdr.","Vestre Strandallé, Risskov",40 m²,1 vær.
1684834100-235,"6.150,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-236,"8.800,- pr. mdr.","marstrandsgade, Århus C",70 m²,2 vær.
1684834100-237,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",41 m²,1 vær.
1684834100-238,"14.742,- pr. mdr.","Solbakken, Risskov",105 m²,4 vær.
1684834100-239,"6.500,- pr. mdr.","Trøjborgvej, Århus N",36 m²,1 vær.
1684834100-240,"7.200,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-241,"11.900,- pr. mdr.","Thit Jensens Gade, Århus C",107 m²,4 vær.
1684834100-242,"11.092,- pr. mdr.","Sandbakken, Højbjerg",110 m²,4 vær.
1684834100-243,"8.395,- pr. mdr.","Abildhaven, Lystrup",84 m²,3 vær.
1684834100-244,"8.500,- pr. mdr.","Finderupvej, Århus C",61 m²,2 vær.
1684834100-245,"20.475,- pr. mdr.","Østre Skovvej, Risskov",182 m²,5 vær.
1684834100-246,"9.995,- pr. mdr.","Holme Møllevej, Viby J",87 m²,3 vær.
1684834100-247,"15.750,- pr. mdr.","Thit Jensens Gade, Århus C",140 m²,5 vær.
1684834100-248,"14.995,- pr. mdr.","Emiliedalsvej, Højbjerg",122 m²,4 vær.
1684834100-249,"8.395,- pr. mdr.","Abildhaven, Lystrup",84 m²,3 vær.
1684834100-250,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-251,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",38 m²,1 vær.
1684834100-252,"10.800,- pr. mdr.","Thorvaldsensgade, Århus C",71 m²,3 vær.
1684834100-253,"6.995,- pr. mdr.","Engtoften, Viby J",56 m²,2 vær.
1684834100-254,"8.150,- pr. mdr.","Rundhøj Allé , Højbjerg",67 m²,3 vær.
1684834100-255,"8.500,- pr. mdr.","Vesterport, Århus C",70 m²,2 vær.
1684834100-256,"11.900,- pr. mdr.","Chr. Værums Gade, Århus C",98 m²,1 vær.
1684834100-257,"7.500,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-258,"6.975,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-259,"7.100,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-260,"5.750,- pr. mdr.","Vestre Strandallé, Risskov",41 m²,1 vær.
1684834100-261,"4.950,- pr. mdr.","Vestre Strandallé, Risskov",33 m²,1 vær.
1684834100-262,"10.900,- pr. mdr.","Vindrosen, Risskov",94 m²,2 vær.
1684834100-263,"6.150,- pr. mdr.","Vestre Strandallé, Risskov",38 m²,1 vær.
1684834100-264,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",39 m²,1 vær.
1684834100-265,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",36 m²,1 vær.
1684834100-266,"6.800,- pr. mdr.","Engkrogen, Viby J",48 m²,2 vær.
1684834100-267,"6.350,- pr. mdr.","Vestre Strandallé, Risskov",39 m²,1 vær.
1684834100-268,"9.542,- pr. mdr.","Olof Palmes Allé, Århus N",84 m²,3 vær.
1684834100-269,"7.751,- pr. mdr.","Eya Jensens Gade, Risskov",61 m²,3 vær.
1684834100-270,"15.950,- pr. mdr.","Thit Jensens Gade, Århus C",140 m²,5 vær.
1684834100-271,"7.580,- pr. mdr.","Skanderborgvej, Århus C",72 m²,2 vær.
1684834100-272,"10.500,- pr. mdr.","Kongevellen, Risskov",75 m²,3 vær.
1684834100-273,"9.300,- pr. mdr.","Engtoften, Viby J",76 m²,2 vær.
1684834100-274,"9.800,- pr. mdr.","Kværnloftet, Risskov",82 m²,3 vær.
1684834100-275,"10.337,- pr. mdr.","Skanderborgvej, Århus C",95 m²,4 vær.
1684834100-276,"7.500,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-277,"8.600,- pr. mdr.","Arresøvej, Risskov",75 m²,3 vær.
1684834100-278,"6.700,- pr. mdr.","Vester Allé, Århus C",50 m²,1 vær.
1684834100-279,"10.800,- pr. mdr.","Broloftet, Risskov",93 m²,3 vær.
1684834100-280,"9.995,- pr. mdr.","Kristine Nielsens Gade, Århus C",65 m²,1 vær.
1684834100-281,"6.650,- pr. mdr.","Vestre Strandallé, Risskov",48 m²,1 vær.
1684834100-282,"10.400,- pr. mdr.","Kongevellen, Risskov",75 m²,3 vær.
1684834100-283,"9.500,- pr. mdr.","Thorvaldsensgade, Århus C",67 m²,2 vær.
1684834100-284,"12.495,- pr. mdr.","Telefonsmøgen, Århus C",87 m²,3 vær.
1684834100-285,"9.595,- pr. mdr.","Forteledet, Risskov",77 m²,3 vær.
1684834100-286,"12.750,- pr. mdr.","Forteledet, Risskov",103 m²,4 vær.
1684834100-287,"7.495,- pr. mdr.","Borresøvej, Risskov",58 m²,2 vær.
1684834100-288,"11.395,- pr. mdr.","Viby Torv, Viby J",101 m²,4 vær.
1684834100-289,"8.795,- pr. mdr.","Viby Torv, Viby J",77 m²,2 vær.
1684834100-290,"5.595,- pr. mdr.","Møllevangen, Tranbjerg J",470 m²,2 vær.
1684834100-291,"9.800,- pr. mdr.","Christian X's Vej, Viby J",88 m²,3 vær.
1684834100-292,"7.995,- pr. mdr.","Møllehatten, Risskov",62 m²,2 vær.
1684834100-293,"7.995,- pr. mdr.","Møllehatten, Risskov",59 m²,2 vær.
1684834100-294,"7.895,- pr. mdr.","Møllehatten, Risskov",64 m²,2 vær.
1684834100-295,"8.495,- pr. mdr.","Møllehatten, Risskov",62 m²,2 vær.
1684834100-296,"10.495,- pr. mdr.","Grete Løchtes Gade, Århus C",68 m²,3 vær.
1684834100-297,"7.500,- pr. mdr.","Arresøvej, Risskov",54 m²,2 vær.
1684834100-298,"7.500,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-299,"7.400,- pr. mdr.","Kongevellen, Risskov",50 m²,2 vær.
1684834100-300,"5.900,- pr. mdr.","Kongevellen, Risskov",34 m²,1 vær.
1684834100-301,"9.050,- pr. mdr.","Dannebrogsgade, Århus C",69 m²,2 vær.
1684834100-302,"9.195,- pr. mdr.","Borresøvej, Risskov",88 m²,3 vær.
1684834100-303,"7.950,- pr. mdr.","Arresøvej, Risskov",69 m²,3 vær.
