web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-121","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.000,- pr. mdr.","Åboulevarden, Århus C","64 m²","3 vær."
"1684834100-122","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.935,- pr. mdr.","Enghavevej, Viby J","88 m²","3 vær."
"1684834100-123","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.895,- pr. mdr.","Arresøvej, Risskov","450 m²","2 vær."
"1684834100-124","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","2.810,- pr. mdr.","Emiliehøj, Højbjerg","18 m²","1 vær."
"1684834100-125","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.695,- pr. mdr.","Borresøvej, Åbyhøj","580 m²","2 vær."
"1684834100-126","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.590,- pr. mdr.","Broloftet, Risskov","97 m²","3 vær."
"1684834100-127","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.880,- pr. mdr.","Rødbedevej, Århus N","88 m²","3 vær."
"1684834100-128","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.975,- pr. mdr.","Arresøvej, Risskov","78 m²","3 vær."
"1684834100-129","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.547,- pr. mdr.","Olof Palmes Allé, Århus N","89 m²","3 vær."
"1684834100-130","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.600,- pr. mdr.","Guldsmedgade, Århus C","142 m²","8 vær."
"1684834100-131","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.300,- pr. mdr.","Vindrosen, Risskov","121 m²","3 vær."
"1684834100-132","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.485,- pr. mdr.","Katrinebjergvej, Århus N","86 m²","3 vær."
"1684834100-133","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.200,- pr. mdr.","Finderupvej, Århus C","61 m²","2 vær."
