web-scraper-order,price,address,type_rooms_kvm
1684829039-26,2.400,"Funch Thomsens Gade, Aarhus N",Lejlighed / 1 vær. / 20 m2
1684829039-27,5.700,"Marselis Boulevard, Aarhus C",Lejlighed / 2 vær. / 74 m2
1684829039-28,5.995,"Vesterbrogade, Aarhus C",Lejlighed / 2 vær. / 46 m2
1684829039-29,4.500,"Janus La Cours Gade, Aarhus C",Værelse / 4 vær. / 97 m2
1684829039-30,3.937,"Hjarnøgade, Aarhus C",Lejlighed / 1 vær. / 50 m2
1684829043-31,10.700,"Niels Juels Gade, Aarhus N",Lejlighed / 2 vær. / 88 m2
1684829043-32,8.995,"Tulipanlunden, Aarhus N",Hus / 3 vær. / 74 m2
1684829043-33,4.900,"Gøteborg Allé, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829043-34,9.200,"Peter Sabroes Gade, Aarhus C",Lejlighed / 2 vær. / 64 m2
1684829043-35,3.500,"Christian X's Vej, Højbjerg",Værelse / 1 vær. / 40 m2
1684829043-36,4.490,"Grøfthøjparken, Viby J",Lejlighed / 1 vær. / 42 m2
1684829043-37,3.500,"Bodøvej, Aarhus N",Værelse / 1 vær. / 15 m2
1684829043-38,7.785,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 64 m2
1684829043-39,2.634,"Molsgade, Aarhus C",Værelse / 1 vær. / 24 m2
1684829043-40,8.000,"Eckersbergsgade, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829043-41,5.350,"Gøteborg Allé, Aarhus N",Lejlighed / 1 vær. / 36 m2
1684829043-42,9.455,"P. P. Ørums Gade, Aarhus C",Lejlighed / 3 vær. / 89 m2
1684829043-43,4.000,"Dr. Holsts Vej, Åbyhøj",Lejlighed / 1 vær. / 27 m2
1684829043-44,7.100,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 50 m2
1684829043-45,8.000,"Hans Broges Gade, Aarhus C",Lejlighed / 4 vær. / 96 m2
1684829047-46,7.750,"Olof Palmes Allé, Aarhus N",Lejlighed / 3 vær. / 62 m2
1684829047-47,13.600,"Nørre Allé, Aarhus C",Lejlighed / 5 vær. / 107 m2
1684829047-48,8.000,"Åboulevarden, Aarhus C",Lejlighed / 2 vær. / 50 m2
1684829047-49,11.395,"Viby Torv, Viby J",Lejlighed / 4 vær. / 101 m2
1684829047-50,16.100,"Nyborggade, Aarhus C",Lejlighed / 5 vær. / 130 m2
1684829047-51,7.500,"Mejlgade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829047-52,12.095,"Ålborggade, Aarhus C",Lejlighed / 3 vær. / 89 m2
1684829047-53,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 52 m2
1684829047-54,8.500,"Vesterport, Aarhus C",Lejlighed / 2 vær. / 70 m2
1684829047-55,6.400,"Thomas Koppels Gade, Aarhus C",Lejlighed / 1 vær. / 39 m2
1684829047-56,4.805,"Fredensgade, Aarhus C",Værelse / 1 vær. / 33 m2
1684829047-57,9.900,"Daugbjergvej, Aarhus C",Lejlighed / 3 vær. / 103 m2
1684829047-58,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
