web-scraper-order,pagination,price,address,rooms_type_kvm
1681720076-1073,,14.613 kr.,"Risskov, Erling Jacobsens Gade",4 vær. · Lejlighed · 117 m²
1681720076-1074,,8.495 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 72 m²
1681720076-1075,,7.586 kr.,"Tilst, Pollenvænget",3 vær. · Lejlighed · 60 m²
1681720076-1076,,7.900 kr.,"Aarhus V, Ryhavevej",3 vær. · Lejlighed · 61 m²
1681720076-1077,,7.500 kr.,"Aarhus C, Vestre Ringgade",3 vær. · Lejlighed · 73 m²
1681720076-1078,,8.995 kr.,"Tilst, Honningvænget",3 vær. · Rækkehus · 80 m²
1681720076-1079,,8.800 kr.,"Aarhus C, Dirch Passers Gade",2 vær. · Lejlighed · 60 m²
1681720076-1080,,12.900 kr.,"Risskov, Hvidkildevej",4 vær. · Rækkehus · 109 m²
1681720076-1081,,23.000 kr.,"Aarhus C, Kystvejen",8 vær. · Lejlighed · 201 m²
1681720076-1082,,2.800 kr.,"Risskov, Krogagre",1 vær. · Værelse · 14 m²
1681720076-1083,,5.000 kr.,"Aarhus C, Silkeborgvej",1 vær. · Lejlighed · 40 m²
1681720076-1084,,7.375 kr.,"Viby J, Fredensvej",2 vær. · Lejlighed · 61 m²
1681720076-1085,,7.400 kr.,"Viby J, Fredensvej",2 vær. · Lejlighed · 55 m²
1681720076-1086,,8.225 kr.,"Viby J, Kongsgårdsvej",2 vær. · Lejlighed · 77 m²
1681720076-1087,,8.295 kr.,"Tilst, Blomsterlunden",3 vær. · Lejlighed · 56 m²
1681720076-1088,,9.495 kr.,"Tilst, Blomsterlunden",3 vær. · Lejlighed · 73 m²
1681720076-1089,,12.995 kr.,"Aarhus C, Daugbjergvej",4 vær. · Lejlighed · 95 m²
1681720076-1090,,10.895 kr.,"Aarhus C, Daugbjergvej",3 vær. · Lejlighed · 83 m²
1681720076-1091,,9.850 kr.,"Aarhus N, Olof Palmes Allé",3 vær. · Lejlighed · 69 m²
1681720076-1092,,10.595 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 91 m²
1681720076-1093,,9.985 kr.,"Aarhus N, Nordre Ringgade",3 vær. · Lejlighed · 77 m²
1681720076-1094,,3.500 kr.,"Aarhus C, Mejlgade",1 vær. · Værelse · 9 m²
1681720076-1095,,8.652 kr.,"Aarhus C, Jægergårdsgade",3 vær. · Lejlighed · 78 m²
1681720076-1096,,7.995 kr.,"Aarhus N, Niels Juels Gade",2 vær. · Lejlighed · 62 m²
1681720076-1097,,7.125 kr.,"Risskov, Møllehatten",2 vær. · Lejlighed · 47 m²
1681720076-1098,,7.495 kr.,"Aarhus C, Ålborggade",2 vær. · Lejlighed · 56 m²
1681720076-1099,,7.895 kr.,"Risskov, Arresøvej",3 vær. · Lejlighed · 65 m²
1681720076-1100,,8.700 kr.,"Sabro, Langfredparken",3 vær. · Lejlighed · 86 m²
1681720076-1101,,5.450 kr.,"Aarhus N, Randersvej",2 vær. · Lejlighed · 57 m²
1681720076-1102,,8.200 kr.,"Aarhus C, Vesterport",2 vær. · Lejlighed · 62 m²
1681720076-1103,,9.000 kr.,"Aarhus C, Chr. Kiers Plads",3 vær. · Lejlighed · 71 m²
1681720076-1104,,15.900 kr.,"Aarhus C, Irma Pedersens Gade",3 vær. · Lejlighed · 110 m²
1681720076-1105,,8.600 kr.,"Aarhus C, Åboulevarden",2 vær. · Lejlighed · 51 m²
1681720076-1106,,14.000 kr.,"Aarhus C, Irma Pedersens Gade",3 vær. · Lejlighed · 96 m²
1681720076-1107,,9.318 kr.,"Aarhus C, Ny Banegårdsgade",2 vær. · Lejlighed · 71 m²
1681720076-1108,,9.603 kr.,"Aarhus C, Ny Banegårdsgade",2 vær. · Lejlighed · 71 m²
1681720076-1109,,10.289 kr.,"Aarhus C, Ny Banegårdsgade",3 vær. · Lejlighed · 84 m²
1681720076-1110,,8.895 kr.,"Aarhus C, Peter Sabroes Gade",2 vær. · Lejlighed · 65 m²
1681720076-1111,,12.650 kr.,"Aarhus C, Ceresbyen",4 vær. · Lejlighed · 85 m²
1681720076-1112,,8.504 kr.,"Aarhus C, Otto Brandenburgs Gade",2 vær. · Lejlighed · 62 m²
1681720076-1113,,9.112 kr.,"Risskov, Engholms Allé",3 vær. · Lejlighed · 89 m²
1681720076-1114,,11.000 kr.,"Aarhus C, Finderupvej",3 vær. · Lejlighed · 83 m²
1681720076-1115,,5.300 kr.,"Aarhus C, Åparken",1 vær. · Lejlighed · 28 m²
1681720076-1116,,12.250 kr.,"Aarhus C, St. St. Blichers Gade",5 vær. · Lejlighed · 104 m²
1681720076-1117,,7.995 kr.,"Aarhus C, Gebauersgade",2 vær. · Lejlighed · 55 m²
1681720076-1118,,8.623 kr.,"Tilst, Stavnsvej",3 vær. · Lejlighed · 89 m²
1681720076-1119,,9.800 kr.,"Aarhus C, Rudolph Wulffs Gade",3 vær. · Lejlighed · 80 m²
1681720076-1120,,7.800 kr.,"Højbjerg, Hørhavevej",1 vær. · Lejlighed · 70 m²
1681720076-1121,,9.000 kr.,"Aarhus C, Chr. Wærums Gade",2 vær. · Lejlighed · 70 m²
1681720076-1122,,9.500 kr.,"Aarhus C, Møllegade",3 vær. · Lejlighed · 76 m²
1681720076-1123,,7.049 kr.,"Risskov, Engholms Allé",2 vær. · Lejlighed · 56 m²
1681720076-1124,,9.368 kr.,"Viby J, Vestergårdsringen",3 vær. · Lejlighed · 85 m²
1681720076-1125,,6.200 kr.,"Aarhus N, Hvidkløvervej",2 vær. · Lejlighed · 57 m²
1681720076-1126,,8.100 kr.,"Aarhus N, Hvidkløvervej",3 vær. · Lejlighed · 77 m²
1681720076-1127,,6.300 kr.,"Aarhus N, Lucernevej",2 vær. · Lejlighed · 58 m²
1681720076-1128,,8.250 kr.,"Aarhus C, Kongsvang Allé",2 vær. · Lejlighed · 72 m²
1681720076-1129,,7.000 kr.,"Aarhus C, Gebauersgade",1 vær. · Lejlighed · 42 m²
1681720076-1130,,8.595 kr.,"Aarhus N, Brendstrupgårdsvej",2 vær. · Lejlighed · 69 m²
1681720076-1131,,9.095 kr.,"Aarhus N, Brendstrupgårdsvej",3 vær. · Lejlighed · 69 m²
